ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10730,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10731,2,650.100056,0.996774891,259.9792881,0.043504306,1.928965909
10732,51,3423.062234,-0.539287312,-595.0963876,0.93054549,1.768083903
10733,24,2246.058087,-0.103387195,227.0223644,0.333572679,1.791684452
10734,2,135.641392,-1.317710906,-254.4793759,0.021316574,1.816757583
10735,10,944.103717,-3.751734631,-38.3497617,0.214672774,1.619060876
10737,2,253.645516,-0.957736343,-136.4752519,0.026386538,1.810621355
10738,30,2734.809656,0.835229198,271.5244003,0.501202153,1.814166843
10740,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10741,5,883.541089,-0.339046118,271.2955546,0.071122855,1.758518537
10743,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
10744,26,2480.640243,0.565508455,313.5213427,0.406900146,1.804153528
10745,4,844.74351,0.358311976,306.5395644,0.066796109,1.836476497
10746,4,844.74351,0.335348937,306.5395644,0.072516059,2.029552716
10747,47,3909.328444,2.906904348,187.3361778,1.781160887,1.791464792
10748,6,398.714104,-4.668855871,-287.5730193,0.046004005,1.804215856
10749,37,2928.05874,0.027051575,-53.51763769,0.609669817,1.83290923
10750,31,2454.389926,-1.051360374,-82.93691858,0.458224272,1.743002363
10751,4,332.544838,-3.641044442,-205.6591076,0.036283474,1.456381035
10752,38,2802.595274,-0.969128667,-253.0226925,0.493530744,1.742021535
10753,26,2398.234241,0.10412656,231.1153407,0.405837054,1.777159659
10754,8,1257.984959,0.59154365,423.614658,0.132505154,1.806178386
10755,5,883.541089,-0.339046118,271.2955546,0.071122855,1.758518537
10756,28,1932.028196,-3.288076944,-383.173882,0.287495762,1.690275215
10758,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10759,27,2427.424877,-0.084092476,186.2643878,0.464390442,1.834147018
10760,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10761,5,415.613954,-3.667675,-196.6315804,0.046142363,1.875277629
10762,4,723.914057,-0.700317885,185.7101114,0.068504042,1.824216911
10763,3,776.922813,0.673098227,312.7604563,0.059728482,1.704131321
10764,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10765,28,2423.78898,-0.382728627,108.586902,0.373962184,1.826975841
10766,16,1374.749419,-3.686491534,-51.95359281,0.197182166,1.655920464
10767,1,3.119954,-0.817369383,-312.959225,0.016568475,2.175074856
